trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.4, 'e': 0.993046074492218}",20,9,-43.5316524041219,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.9929278516369265}",20,0,-81.48906118582039,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
120,False,"{'a': 0.4, 'e': 0.9928086358538663}",30,0,-194.13460484372584,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
121,False,"{'a': 0.4, 'e': 0.9926884272622528}",20,0,-159.72532118067144,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
122,False,"{'a': 0.4, 'e': 0.9925672259822949}",25,0,-174.66245161290314,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
123,False,"{'a': 0.4, 'e': 0.9924450321351935}",20,0,-102.0225353006312,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
124,False,"{'a': 0.4, 'e': 0.9923218458431429}",30,0,-122.20256016136445,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.992197667229329}",20,14,-12.195579012203694,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.4, 'e': 0.9920724964179307}",25,0,-65.17624815953268,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
127,False,"{'a': 0.4, 'e': 0.9919463335341185}",20,0,-62.10172555583985,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
128,False,"{'a': 0.4, 'e': 0.9918191787040556}",20,0,-63.75543985336107,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
129,False,"{'a': 0.4, 'e': 0.9916910320548965}",30,15,-46.15933559468014,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.9915618937147881}",30,0,-143.59706217294155,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
131,False,"{'a': 0.4, 'e': 0.9914317638128685}",25,0,-196.09241943702892,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
132,False,"{'a': 0.4, 'e': 0.9913006424792677}",30,0,-155.08244181119528,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
